gender,age,class,fratsoro,livewith,drinks5,drinkprob
2,23,4,2,0,1,12
1,26,4,2,0,4,22
2,21,4,2,0,1,12
2,18,1,2,0,1,13
2,19,1,1,0,4,25
2,18,1,2,0,5,27
1,22,4,2,0,1,13
1,26,4,2,0,1,12
2,26,3,1,0,1,12
2,20,3,2,0,1,21
2,26,3,2,0,1,12
2,21,3,1,0,4,22
1,24,3,2,0,1, 
2,23,3,2,0,3,19
1,26,4,2,0,1, 
1,24,5,2,0,1,13
2,21,3,2,0,1,14
2,21,1,2,0,1,14
1,21,4,2,0,3,18
2,19,1,2,0,1, 
1,26,5,2,0,1, 
2,20,3,2,0,1,12
2,22,4,2,0,1,13
2,22,4,1,0,2,16
1,21,3,2,0,4,25
2,20,3,2,0,2,12
2,21,4,2,0,2,18
2,21,4,1,0,1,21
2,22,4,2,0,2,23
1,18,1,2,0,3,20
2,18,1,2,0,1,12
1,26,4,2,0,1, 
2,26,3,2,0,1,12
2,18,1,2,0,1,13
2,19,2,1,0,1,12
2,18,1,2,0, , 
2,19,1,2,0,1,15
2,20,2,2,0,1, 
2,20,2,2,0,2,25
2,26,3,2,0,1,12
1,19,1,2,0,1,13
1,26,4,2,0,1, 
2,18,1,2,0,6,36
1,20,3,2,0,1, 
2,21,4,2,0,1,12
2,24,5,1,0,1,17
1,20,3,2,0,2,15
1,23,4,2,0,1,13
1,18,1,2,0, ,12
2,26,4,2,0,1, 
1,22,4,2,0,2,14
2,21,4,2,0,1,12
1,22,4,1,0,2,13
1,21,4,2,0,1, 
1,20,3,1,0,3,13
1,26,5,2,0,1,12
1,24,5,2,0,2,21
2,19,2,2,0,2,12
1,21,4,2,0,3,15
2,18,1,2,0,1,12
2,21,3,2,0,4,16
2,26,5,2,0,1,12
2,21,3,2,0,1, 
1,26,4,2,0,4,17
2,20,2,2,0,1,13
1,21,3,1,0,2,15
1,19,1,2,0,5,25
2,22,5,2,0,1,12
2,21,3,2,0,1, 
2,21,4,2,0,1,12
2,18,1,2,0,1,24
2,21,3,2,0,2,13
2,18,1,2,0,4,26
1,23,5,2,0,2,12
2,20,2,2,0,1,14
2,21,4,1,0,2,12
2,26,3,2,0,1,13
1,19,2,2,0,1,12
2,21,4,2,0,2,14
2,23,3,2,0,2,18
1,19,2,2,0,3,14
1,23,4,2,0,1, 
2,19,1,2,0,4,19
1,26,3,2,0, , 
2,26,3,2,0,1, 
1,26,4,2,0,4,12
2,25,2,2,0,1,12
1,20,3,2,0,1, 
2,21,3,2,0,1,12
2,19,1,2,0,2,15
1,19,2,2,0,4,18
2,22,4,1,0,2,17
1,21,1,2,0,1,12
2,22,5,2,0,4,17
1,20,2,1,1,4,21
2,18,1,2,0,2,21
2,19,1,2,0,2,12
2,19,2,2,0,4,21
1,18,2,2,0,1,13
1,20,3,2,0,5,27
1,22, ,2,0,1, 
1,20,3,1,1,4,21
2,18,1,2,0,1,14
2,21,3,2,0,1,12
2,26,4,2,0,1,12
2,19,2,2,0,1,12
1,23,3,2,0, , 
1,26,4,2,0,1,12
1,21,4,2,0,3,18
1,22,4,2,0,1, 
2,20,3,2,0,1,12
